epoch,time,model_name,train_loss,train_acc,test_acc
0, 2023-02-27 20:33:45, Lenet, 217.2930, 0.651, 0.771
1, 2023-02-27 20:34:03, Lenet, 136.3858, 0.778, 0.802
2, 2023-02-27 20:34:21, Lenet, 120.4362, 0.808, 0.830
3, 2023-02-27 20:34:39, Lenet, 110.1654, 0.828, 0.847
4, 2023-02-27 20:34:57, Lenet, 103.4388, 0.838, 0.854
5, 2023-02-27 20:35:16, Lenet, 97.0672, 0.850, 0.859
6, 2023-02-27 20:35:34, Lenet, 92.9539, 0.856, 0.869
7, 2023-02-27 20:35:52, Lenet, 86.8244, 0.865, 0.875
8, 2023-02-27 20:36:10, Lenet, 83.9379, 0.870, 0.877
9, 2023-02-27 20:36:28, Lenet, 80.7966, 0.875, 0.883
0, 2023-02-27 20:37:27, ResNetForMinist, 190.8925, 0.713, 0.820
1, 2023-02-27 20:37:42, ResNetForMinist, 111.7456, 0.829, 0.849
2, 2023-02-27 20:37:57, ResNetForMinist, 97.5510, 0.848, 0.855
3, 2023-02-27 20:38:12, ResNetForMinist, 91.6250, 0.858, 0.867
4, 2023-02-27 20:38:28, ResNetForMinist, 86.9903, 0.866, 0.869
5, 2023-02-27 20:38:43, ResNetForMinist, 84.9702, 0.867, 0.871
6, 2023-02-27 20:38:58, ResNetForMinist, 81.6473, 0.874, 0.879
7, 2023-02-27 20:39:13, ResNetForMinist, 78.5046, 0.876, 0.875
8, 2023-02-27 20:39:28, ResNetForMinist, 76.5482, 0.880, 0.878
9, 2023-02-27 20:39:43, ResNetForMinist, 75.7306, 0.880, 0.879
